호선,역사명,미세먼지(PM10),이산화탄소(CO2),포름알데히드(HCHO),일산화탄소(CO),avg_congestion,freq
1,서울역1,76.4,627,16.4,0.6,29.56994686994687,86.0
1,시청1,100.7,610,17.8,1.0,28.223331023331028,86.0
1,종각,99.8,687,20.5,0.9,27.584673134673135,86.0
1,종로3가1,105.3,646,20.6,1.3,27.855809655809654,86.0
1,종로5가,99.4,532,16.4,1.1,27.92685377685378,86.0
1,동대문1,99.5,561,17.2,1.1,27.170743820743823,86.0
1,동묘앞,87.4,567,15.9,1.1,25.964553014553015,86.0
1,신설동1,98.5,511,11.2,1.1,24.71832986832987,86.0
1,제기동,97.8,497,13.7,0.8,22.73827673827674,86.0
1,청량리,91.5,550,14.4,0.7,19.84901824901825,86.0
2,시청2,109.3,558,10.0,1.0,36.489027489027485,954.0
2,을지로입구,81.2,559,9.9,1.0,35.596350196350194,954.0
2,을지로3가2,94.2,592,13.4,0.9,34.34434049434049,954.0
2,을지로4가,67.0,626,9.6,0.8,33.7491452991453,954.0
2,동대문역사문화공원2,89.9,572,7.9,1.3,36.11799491799491,954.0
2,신당,95.8,563,7.5,1.1,38.519415569415564,954.0
2,상왕십리,82.0,477,10.6,0.8,38.50779625779626,954.0
2,왕십리,85.9,562,16.0,0.6,34.063952413952414,954.0
2,잠실,88.5,667,15.8,0.8,31.87465927465927,954.0
2,신천,77.7,463,13.1,0.5,32.86053361053361,954.0
2,종합운동장,97.0,453,13.2,0.5,32.399526449526455,954.0
2,삼성,92.2,520,17.2,0.5,33.92097482097482,954.0
2,선릉,92.9,580,16.5,1.0,39.519635019635025,954.0
2,역삼,81.6,584,18.0,1.1,44.68978978978979,954.0
2,강남,78.2,736,24.3,1.0,47.996188496188495,954.0
2,교대2,83.4,639,17.8,0.6,50.81063756063756,954.0
2,서초,92.8,479,14.9,0.5,50.61321321321321,954.0
2,방배,93.3,513,15.3,0.6,50.258523908523905,954.0
2,사당2,87.8,605,9.3,1.3,49.610221760221755,954.0
2,낙성대,89.9,492,7.6,1.1,47.52993762993763,954.0
2,서울대입구,86.5,481,7.2,1.0,44.38754908754908,954.0
2,봉천,81.4,447,6.8,1.0,42.01337491337491,954.0
2,신림,93.0,571,5.5,0.9,40.078309078309076,954.0
2,신도림,73.2,498,9.1,0.9,39.28960498960499,954.0
2,문래,86.8,460,12.5,1.0,40.96709401709401,954.0
2,영등포구청,96.5,520,11.6,0.7,40.47040887040887,954.0
2,합정,91.4,620,14.7,1.0,39.016724416724415,954.0
2,홍대입구,84.3,740,30.5,1.3,36.63850773850774,954.0
2,신촌,90.9,568,9.2,0.9,,954.0
2,이대,88.0,595,17.2,1.1,36.052125202125204,954.0
2,아현,91.6,555,12.2,0.9,36.60095865095865,954.0
2,충정로,93.2,639,13.4,1.1,36.94881034881035,954.0
2,도림천,74.6,438,6.8,0.5,32.57337722337722,954.0
2,양천구청,72.5,424,8.8,0.8,29.31695541695542,954.0
2,신정네거리,101.9,463,12.0,1.1,22.5467197967198,954.0
2,신설동2,70.1,476,15.8,0.6,5.0428043428043425,954.0
2,용두,68.9,446,11.8,0.6,10.509424809424809,954.0
3,구파발,87.2,452,10.1,0.8,19.856294756294755,272.0
3,연신내,105.1,491,8.6,0.9,23.387964887964888,272.0
3,불광,95.2,507,11.4,0.9,28.168295218295217,272.0
3,녹번,84.4,518,15.7,0.8,29.444502194502196,272.0
3,홍제,95.9,603,12.7,1.1,31.52042042042042,272.0
3,무악재,101.3,483,13.9,0.8,32.94675444675445,272.0
3,독립문,99.0,536,13.8,0.9,33.602910602910605,272.0
3,경복궁,88.4,544,16.8,1.0,36.50313005313006,272.0
3,안국,78.4,522,24.3,1.0,40.138438438438435,272.0
3,종로3가3,108.1,615,13.9,1.0,38.382062832062836,272.0
3,을지로3가3,85.2,613,10.2,0.7,33.92023562023562,272.0
3,충무로3,101.3,554,7.1,0.8,34.72664587664587,272.0
3,동대입구,91.9,475,12.8,0.8,35.85274890274891,272.0
3,약수,101.5,583,8.9,0.9,37.664541464541465,272.0
3,금호,86.0,472,12.2,0.7,39.76264726264726,272.0
3,압구정,88.5,504,6.9,0.7,41.8927927927928,272.0
3,신사,96.2,535,7.4,0.7,42.057495957495966,272.0
3,잠원,74.6,435,6.1,0.8,42.774832524832526,272.0
3,고속터미널,79.1,684,14.6,0.9,44.82182952182952,272.0
3,교대3,90.9,621,6.8,0.9,42.431970431970434,272.0
3,남부터미널,85.0,487,8.9,0.9,34.58771078771078,272.0
3,양재,88.1,560,8.6,0.7,25.227962577962575,272.0
3,매봉,72.3,535,6.7,0.6,18.496511896511898,272.0
3,도곡,94.6,556,6.1,0.7,16.754516054516056,272.0
3,대치,82.0,526,9.2,0.4,14.406964656964659,272.0
3,학여울,73.5,447,6.6,0.5,13.394975744975744,272.0
3,대청,91.2,477,7.2,0.5,12.609089859089858,272.0
3,일원,81.4,478,5.7,0.5,11.209886809886811,272.0
3,수서,82.9,504,9.0,0.6,10.164310464310464,272.0
3,가락시장,96.3,476,10.1,0.5,8.793520443520443,272.0
3,경찰병원,70.7,417,11.9,0.5,6.122115384615384,272.0
3,오금,72.4,439,6.1,0.5,2.697542735042735,272.0
4,쌍문,94.0,501,5.7,0.8,25.043528143528146,307.0
4,수유,88.1,508,6.1,0.8,28.936613536613535,307.0
4,미아,86.7,492,7.2,0.6,31.696615846615845,307.0
4,미아사거리,88.1,441,6.0,0.5,,307.0
4,길음,82.4,454,4.3,0.6,36.85652575652575,307.0
